# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/ellal/genome_analysis/analyses/05_annotation/braker/braker_cleaned.gtf" "-o" "/home/ellal/genome_analysis/analyses/06_expression/read_counts.txt" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam
g922	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	49060;49060;49356;49439;50392;50400;50885;50885;51350;51747;52269;52720;53111;53231;53928;54645	49145;49145;49533;49533;50466;50466;50888;51073;51523;52024;52338;52776;53175;53432;54550;54975	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2328	800	579
g923	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	56054;56054;56360;56360;56842;57107	56227;56227;56530;56786;57057;57300	-;-;-;-;-;-	1011	89	112
g924	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	61375;61375;61669;61669;62638;62638;63382;63382;63854;63854;64156;64156;64507;64507;64882;64882;65642;65642	61571;61571;62424;62424;62977;62986;63632;63632;63986;63986;64323;64323;64626;64626;65084;65084;66413;66413	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2949	310	253
g925	tig00000014_pilon;tig00000014_pilon	66853;67539	67158;67565	-;-	333	17	13
g926	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	69195;72137;76438	69556;72202;76474	-;-;-	465	6	2
g927	tig00000014_pilon;tig00000014_pilon	76597;76852	76745;76948	+;+	246	0	7
g928	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	97127;97127;97647;97647;98749;99800;100244;100536;100722	97485;97485;98463;98495;98844;99857;100330;100542;100741	-;-;-;-;-;-;-;-;-	1476	139	215
g929	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	100858;101412;101826;102039;102183;102482;102760;102909;103102;103449;103632;103954	100981;101630;101923;102081;102244;102538;102795;102986;103168;103514;103735;104064	+;+;+;+;+;+;+;+;+;+;+;+	1065	1342	163
g930	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	104649;104649;104726;104726;105238;105238;105412;105412;106246;106246;106656;106656;106775;106775;108444;108669;108669;109131;109131;109479;109479;109813;109813;110169;110169;110793;110793;111346;111346;112199;112199	104682;104682;105186;105186;105264;105264;105603;105603;106325;106325;106730;106730;108342;108405;108482;108871;108871;109289;109289;109646;109646;109957;109957;110449;110449;111132;111132;112101;112101;112395;112395	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4788	1479	1002
g931	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	113470;113470;114111;114111;114528;114919;114919;115339;115339;115609	113703;113703;114416;114779;114779;115177;115177;115625;115439;115683	-;-;-;-;-;-;-;-;-;-	1507	2487	2092
g932	tig00000014_pilon	115776	116165	+	390	4	6
g933	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	116235;116455;116836;117131;117453	116317;116524;116912;117212;117902	+;+;+;+;+	762	200	86
g934	tig00000014_pilon	118120	118371	-	252	18	18
g935	tig00000014_pilon	118448	118801	+	354	0	33
g936	tig00000014_pilon;tig00000014_pilon	121065;121314	121183;122349	+;+	1155	0	0
g937	tig00000014_pilon	122440	122709	-	270	0	0
g938	tig00000014_pilon	128101	128427	-	327	1	2
g939	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	132145;132567;132895;133218;133716	132451;132615;133054;133424;133973	+;+;+;+;+	981	0	0
g940	tig00000014_pilon;tig00000014_pilon	136690;137065	136702;137309	+;+	258	0	0
g941	tig00000014_pilon	137352	137627	-	276	2	21
g942	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	137788;138644;138894;139172;139750;140273;140552;140894;141427;141683;142398	138486;138771;139023;139390;140061;140380;140779;141211;141543;141793;142805	+;+;+;+;+;+;+;+;+;+;+	2778	129	339
g943	tig00000014_pilon;tig00000014_pilon	144250;144564	144475;144715	-;-	378	249	158
g944	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	144960;146044;146199;146398	145952;146154;146257;146755	+;+;+;+	1521	2648	2719
g945	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	158672;159842;160363	159030;159913;160435	-;-;-	504	183	538
g946	tig00000014_pilon	160508	160768	+	261	11	64
g947	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	169998;169998;170600;170600;170856;170856;171421;171421;171859;171859;172071;172071;172574;172574;172878;172878;173094;173094;173257;173257;173636;173636;173943;173943;174145;174145;174468;174468;174678;174885;174885;175078;175078;175373;175373;175687;175687;176055;176055;176352;176352;176523;176523;176817;176817;177075;177075;177359;177359;177619;177619	170235;170235;170685;170685;170918;170918;171516;171516;171925;171925;172200;172200;172738;172738;172958;172958;173165;173165;173328;173328;173707;173707;174014;174014;174216;174216;174539;174539;174752;174941;174941;175259;175259;175528;175528;175904;175904;176129;176129;176403;176403;176614;176614;176962;176962;177222;177222;177505;177505;177819;177819	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2907	2222	2298
g948	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	179006;180537;181432	180244;180952;182125	-;-;-	2349	643	942
g949	tig00000014_pilon	182270	182476	+	207	0	0
g950	tig00000014_pilon	187152	187967	+	816	348	271
g951	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	188364;188861;189182;189571;190085;190554;191012;191178;191553;191884;192200;192434	188699;188963;189299;189916;190339;190846;191072;191294;191631;192004;192333;192801	-;-;-;-;-;-;-;-;-;-;-;-	2331	1146	191
g952	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	192607;192824;192915;192915;193179;193179;193179;193762;193762;193762;194159;194159;194159;194582;194582;194582;194801;194801;194801;194990;194990;194990;195190;195190;195190	192751;192886;192988;192988;193254;193254;193240;193932;193932;193932;194285;194210;194285;194616;194616;194616;194834;194834;194834;195060;195060;195060;195330;195330;195330	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	937	91	57
g953	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	196117;196117;196365;196365;196751;196751;197053;197053;197264;197264;197626;197626;197958;197958;198324;198324;198650;198650;198808;199001;199197;199197;199492;199492	196163;196163;196433;196433;196847;196847;197108;197108;197440;197440;197745;197745;198050;198050;198444;198444;198682;198682;198872;199076;199278;199278;199580;199580	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1125	820	1417
g954	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	199952;200157;200602;201430	200060;200550;201020;201443	-;-;-;-	936	12	47
g955	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	204987;205392;205488;205664;206064;206736;207221;207793;208063	205029;205428;205503;205726;206303;206888;207341;207880;208516	-;-;-;-;-;-;-;-;-	1215	1161	2949
g956	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	208627;209369;209660;209921;210351	209214;209422;209725;210032;210424	+;+;+;+;+	894	12	453
g957	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	210462;210630;210871;211332;211527;212211;212733;212928	210477;210701;210986;211408;212012;212526;212875;213132	+;+;+;+;+;+;+;+	1431	1234	4103
g958	tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon;tig00000014_pilon	219048;219305;219654;220168;220772;221195;221481;221709;222156;222463;222766;222974	219252;219447;219969;220688;220849;221310;221552;221837;222267;222528;222819;223561	-;-;-;-;-;-;-;-;-;-;-;-	2400	2764	6160
g959	tig00000014_pilon	223681	224328	+	648	44	421
g960	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	4749;5291;5776;6166;6663	4992;5407;5969;6418;6892	+;+;+;+;+	1038	9	0
g961	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	10153;10425;10958;10960;11400;11400;11676;11676;11996;11996;12357;12357	10213;10445;11215;11215;11530;11530;11915;11915;12251;12251;12574;12574	+;+;+;+;+;+;+;+;+;+;+;+	1185	97	83
g962	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	12956;13071;13410	12970;13310;13694	-;-;-	540	4	18
g963	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	15740;16078;16975;17263;17625;17912;18188;18491;18728;19093;19407;19717;20027;20247;20713	16015;16185;17051;17347;17751;18010;18255;18598;18805;19225;19503;19840;20135;20330;20822	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1683	8268	7454
g964	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	28288;28675;29947;30143;30336	28447;28753;30059;30211;30700	-;-;-;-;-	786	0	0
g965	tig00000015_pilon;tig00000015_pilon	30771;31183	30989;31236	+;+	273	6	27
g966	tig00000015_pilon;tig00000015_pilon	31288;32266	31399;34229	+;+	2076	686	1729
g967	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	39786;39954;40377;41050	39812;40193;40657;41080	+;+;+;+	579	130	208
g968	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	41220;41220;41220;41423;41423;41423;41870;41870;41870;42194;42194;42254;42439;42439;42527	41250;41250;41250;41527;41527;41527;41995;41995;41995;42306;42306;42306;42546;42546;42562	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	499	140	168
g969	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	44033;44033;44531;44531;45353;45353;45586;45586;46570;46570;46963;46963;47069;47950;48080;48080;48345;48345;48833;48833	44246;44246;44602;44602;45424;45424;45729;45729;46641;46641;46974;47095;47095;48025;48175;48175;48493;48493;48840;48840	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1036	62	3
g970	tig00000015_pilon;tig00000015_pilon	55471;57731	55640;57941	-;-	381	15	24
g971	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	57996;58459;58809;59196;59584	58220;58659;58981;59292;59943	+;+;+;+;+	1056	3492	9601
g972	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	61491;63432;64753;66679	61955;64655;66099;67929	-;-;-;-	4287	0	1
g973	tig00000015_pilon;tig00000015_pilon	73891;74516	74079;74581	-;-	255	0	0
g974	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	74825;75737;76581;77525;77546;80043;80043	74865;76465;77337;78358;78358;80303;80303	+;+;+;+;+;+;+	2622	0	2
g975	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	81547;84372;88946	81618;84555;88953	-;-;-	264	388	279
g976	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	89070;89070;89561;89561;89909;89909;90342;90342;90455;90455;90678;90790	89178;89178;89681;89681;90041;90041;90400;90400;90511;90511;90735;90940	+;+;+;+;+;+;+;+;+;+;+;+	688	1387	1626
g977	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	90963;90963;91913;91913;92713;92713;92981;92981;93099;93619;93619	91535;91535;92430;92430;92780;92785;92997;93299;93299;93901;93901	-;-;-;-;-;-;-;-;-;-;-	1766	578	378
g978	tig00000015_pilon	94414	94644	+	231	48	23
g979	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	94864;94864;95067;95067;95804;95804;95869;95869;96109;96109;96525;96525;97106;97109;97456;97456	95011;95011;95076;95076;95822;95822;95985;95985;96375;96375;96752;96752;97225;97225;98427;98427	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1881	1695	1083
g980	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	108743;108999;109325;109537;110027;110462;110778;110920;111131	108872;109051;109472;109792;110288;110611;110836;111010;111316	+;+;+;+;+;+;+;+;+	1335	216	31
g981	tig00000015_pilon;tig00000015_pilon	117500;118219	118127;118787	-;-	1197	9	6
g982	tig00000015_pilon	121525	122886	-	1362	1142	231
g983	tig00000015_pilon;tig00000015_pilon	123050;123298	123159;123487	+;+	300	3	0
g984	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	129423;129950;130511	129631;130030;130676	-;-;-	456	152	1456
g985	tig00000015_pilon	130701	131198	-	498	73	929
g986	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	133305;133576;133883;134006;135327;135558	133531;133784;133899;135276;135463;135625	-;-;-;-;-;-	1929	982	1210
g987	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	138174;138355;138704;139064;139421	138300;138413;138836;139184;139454	-;-;-;-;-	474	660	1745
g988	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	143701;144045;144429;144621;144922;145247;145553;145825;146020;146331;146520;146893;147129;147510;147868;148119;148121;148459;148465;148510;148694;148716;149561	143885;144191;144500;144767;144993;145318;145624;145896;146091;146402;146594;147039;147336;147638;148038;148135;148135;148464;148592;148643;149283;148834;149583	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2528	2951	2171
g989	tig00000015_pilon	148924	149376	+	453	0	0
g990	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	159262;159873;160445;161093;161496	159577;160099;160678;161348;161665	+;+;+;+;+	1203	0	0
g991	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	166034;166466;166790;166977;167322;167644;167990;168267;168513;168714;168957;169244;169426;169940;170309;170728;171098;171489;171816;172127;172462;173219;173593;173837;174082	166274;166626;166818;167105;167514;167774;168119;168368;168571;168807;169123;169310;169545;170127;170423;170874;171331;171608;171884;172219;172890;173393;173721;173943;174087	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3435	176	94
g992	tig00000015_pilon;tig00000015_pilon	175272;175488	175419;175717	+;+	378	0	0
g993	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	181714;182127;182306;182917	181863;182175;182457;183054	-;-;-;-	489	0	0
g994	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	189562;189664;190059	189578;189882;190251	+;+;+	429	0	0
g995	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	191236;191881;192316;192508;192949;193432;193720;194080;194266;194502;194744	191774;192271;192429;192861;193321;193622;194028;194196;194367;194639;195103	-;-;-;-;-;-;-;-;-;-;-	2988	0	4
g996	tig00000015_pilon	195193	195495	-	303	0	0
g997	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	195623;196022;196871;197171	195872;196808;197073;197337	-;-;-;-	1407	0	0
g998	tig00000015_pilon	197433	197990	+	558	0	0
g999	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	198671;199455;199922	199124;199688;200124	-;-;-	891	0	0
g1000	tig00000015_pilon;tig00000015_pilon	201035;201676	201154;201975	-;-	420	13	153
g1001	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	202026;202756;203286	202145;202904;203334	+;+;+	318	237	1262
g1002	tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon;tig00000015_pilon	203416;203751;204198;204432;204694;204985;205224;205588;206052;206957;207207;207320;207681;208001;208399;208700;209530;209870;210686;210968;211392;211732;212260;212549;212880;213084;213520	203441;203847;204282;204503;204860;205087;205438;205858;206890;206971;207266;207384;207713;208277;208469;209085;209723;210184;210836;211155;211538;211927;212372;212775;212982;213242;213736	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4792	4880	3765
g1003	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	62;1301;1985;2660;2843;3128;3589;3912;4532;4875;5296	191;1534;2176;2735;2955;3346;3695;4087;4671;5004;5393	+;+;+;+;+;+;+;+;+;+;+	1615	0	0
g1004	tig00000016_pilon;tig00000016_pilon	8413;8976	8808;9089	-;-	510	44	70
g1005	tig00000016_pilon;tig00000016_pilon	9682;13277	11926;13314	+;+	2283	387	678
g1006	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	13411;13530;13660;13923	13460;13617;13795;14551	+;+;+;+	903	40	146
g1007	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	26955;27881;28372	27167;28204;28485	-;-;-	651	0	0
g1008	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	28763;29037;30250;30957;32655	28894;30142;30909;31306;32692	+;+;+;+;+	2286	18	73
g1009	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	32789;32789;33341;33341;34102;34113;34211;35133;35133;35534;35534;35715;35715	32838;32838;33806;33806;34112;34878;34878;35356;35356;35541;35541;35751;35751	+;+;+;+;+;+;+;+;+;+;+;+;+	1562	149	545
g1010	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	37463;37918;38077	37730;37929;38156	-;-;-	360	86	677
g1011	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	38265;38783;39177;39512;39994	38691;39063;39417;39889;40085	+;+;+;+;+	1419	137	1008
g1012	tig00000016_pilon;tig00000016_pilon	40847;41226	41139;41979	+;+	1047	136	241
g1013	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	42687;42687;42981;42981;43422;43422;44176;44176;44468;44468;44945;44945;45246;45246;45558;45558;46070;46070;46778;47231	42863;42863;43297;43297;44064;44064;44376;44376;44728;44728;45114;45114;45407;45407;45680;45680;46238;46287;46950;47266	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2481	128254	41052
g1014	tig00000016_pilon	46533	46895	+	363	140	249
g1015	tig00000016_pilon	48259	48666	-	408	102	108
g1016	tig00000016_pilon;tig00000016_pilon	53048;53415	53311;53489	-;-	339	5	0
g1017	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	54822;54822;55127;55127;55951;55951;56177;56177;56808;56808;57130;57130;57356;57356;57752;57752;59075;59075;60014;60426;60426;60877	55006;55006;55344;55344;55984;55984;56603;56603;56889;56889;57219;57219;57617;57617;57851;57851;59447;59447;60066;60703;60433;61861	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3087	2647	2537
g1018	tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon;tig00000016_pilon	62901;63229;63704;64163;64451;64696;64943;65763;65957;66283	63024;63302;63868;64257;64490;64743;65131;65860;66210;66527	-;-;-;-;-;-;-;-;-;-	1332	424	153
